Scenario,Local_Precision,Global_Precision,Local_Recall,Global_Recall,Local_F1,Global_F1,F1_Improvement,Improvement_Pct,Local_Detection_Delay,Global_Detection_Delay
No Drift,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudden Mean Shift,0.8243243243243243,0.6648936170212766,0.14950980392156862,0.30637254901960786,0.25311203319502074,0.41946308724832215,0.16635105405330142,65.7223016833535,346.0,2.0
Variance Explosion,0.821917808219178,0.5388888888888889,0.22058823529411764,0.35661764705882354,0.34782608695652173,0.42920353982300885,0.08137745286648712,23.39601769911505,212.0,6.0
