Scenario,Local_Precision,Global_Precision,Local_Recall,Global_Recall,Local_F1,Global_F1,F1_Improvement,Improvement_Pct,Local_Detection_Delay,Global_Detection_Delay
No Drift,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudden Mean Shift,0.5952380952380952,0.5873015873015873,0.07836990595611286,0.23197492163009403,0.13850415512465375,0.3325842696629214,0.19408011453826762,140.12584269662923,2.0,0.0
Variance Explosion,0.47058823529411764,0.3504273504273504,0.11267605633802817,0.19248826291079812,0.18181818181818182,0.24848484848484848,0.06666666666666665,36.66666666666666,21.0,6.0
